student_id,nombre_estudiante,grado,asignatura,docente,nota_parcial_1,nota_parcial_2,nota_final,promedio_general,periodo_evaluacion,fecha,presente,tipo_falta,tarea_id,fecha_entrega_programada,fecha_entregada,estado_entrega,cumplimiento_tareas_porcentaje,participacion_clase,interacciones_LMS,historial_reprobacion,nota_ultima_evaluacion,asistencia_porcentaje,numero_faltas_ultimos_30_dias,situacion_familiar,situacion_socioeconomica,evaluacion_emocional
7b35cdd6-a159-42bd-80f3-c763808b6e73,Jeffrey Oliver,2do,Historia,Christopher Moses,2.5,6.0,4.2,8.0,Trimestre 2,2025-03-20,1,,fd356b21-8dc4-4199-a507-2d9755076fe1,2025-04-20,2025-04-20,no entregada,81,4,2,2,3.4,98.8,5,padre solo,alta,alta
19e50263-db80-4975-b27e-8eabbf2372d4,Jennifer Sexton,5to,Lenguaje,Rebekah Valentine,6.3,9.1,7.7,6.6,Trimestre 2,2025-04-02,0,justificada,dd7a990d-15a4-4fd2-988e-10dc08175b7d,2025-06-02,2025-06-02,entregada a tiempo,55,5,18,0,1.5,96.2,2,tutor,t,baja
5dbced7f-6ab6-4132-8cfd-97224b9b9586,Jesus Allen,1ro,Matematicas,Rebekah Valentine,2.0,3.7,2.9,5.9,Trimestre 2,2025-04-26,1,,48135b89-438c-4ffc-8753-a3aa70348c39,2025-04-24,2025-04-24,entregada a tiempo,55,4,20,0,8.1,97.4,9,padre solo,t,baja
04216c27-3c1d-4198-9de4-93e80f73971b,Kim Allen,3ro,Matematicas,Evelyn Smith,3.3,6.2,4.8,9.6,Trimestre 3,2025-06-02,1,,f74b3793-b76b-4a50-a05b-50e3f67f94f2,2025-04-20,2025-04-20,entregada a tiempo,98,2,16,0,2.7,84.3,8,padres,t,alta
7c9343de-8ca8-4020-8da4-5d410a9680ba,Richard Davidson,4to,Matematicas,Crystal Robinson,8.1,4.9,6.5,8.1,Trimestre 3,2025-05-08,1,,82e93b14-0bb0-4ce9-993e-372eba470758,2025-05-30,2025-05-30,no entregada,86,3,19,1,3.5,62.2,7,padre solo,t,media
5251605f-0555-43a8-9f38-3d73e8c6b7d6,Sarah Weeks,2do,Historia,Phillip Thomas,1.8,5.8,3.8,8.3,Trimestre 1,2025-06-10,1,,a3d232dd-3bad-491f-a576-b368e181109f,2025-06-07,2025-06-07,no entregada,96,3,15,1,3.8,94.6,5,tutor,t,baja
844c7ad6-9265-4db5-ac7a-aa4e64661b3e,Kathryn Barajas,5to,Ciencias,Ryan Clarke,6.6,9.5,8.1,6.1,Trimestre 3,2025-04-04,0,injustificada,c1e0bf95-c1eb-484f-aca6-da6ec446ab66,2025-05-13,2025-05-13,tarde,79,5,12,1,2.3,96.4,1,padres,t,alta
f796bd96-0057-4182-86fa-f65d51c6df52,Marcus Mendoza,2do,Ciencias,Evelyn Smith,6.4,6.9,6.7,7.8,Trimestre 3,2025-03-16,1,,e3f9baa8-4fa3-4f69-b32b-d3231c552dbb,2025-05-28,2025-06-07,tarde,47,5,18,0,6.5,87.5,1,madre sola,t,media
958ec28e-0714-442f-bd71-c963245bb399,Scott Gallegos,4to,Ingles,Amy Leblanc,4.7,9.3,7.0,5.0,Trimestre 2,2025-05-28,0,justificada,840133c4-053b-4ded-924e-f18412afc953,2025-05-25,2025-05-25,entregada a tiempo,42,1,3,2,4.5,68.8,5,madre sola,t,alta
922cbd5a-d508-44c7-b7bd-c217b95a2826,Jennifer Williams,2do,Historia,Mark Tate,1.4,5.3,3.3,7.2,Trimestre 1,2025-06-06,1,,e2e77315-4037-46ab-9f83-5c2e67bd2738,2025-05-09,2025-05-09,entregada a tiempo,57,3,9,0,9.0,78.0,5,padres,t,baja
4c7810b0-d1c3-4a92-9869-29ae07914685,Anthony Mitchell,5to,Ciencias,Mark Tate,4.2,7.9,6.1,8.6,Trimestre 1,2025-04-20,0,injustificada,3f72d242-5866-452d-9ecd-e432043450f1,2025-06-08,2025-06-08,tarde,54,0,13,3,1.4,84.7,8,padre solo,t,media
76244716-7bca-4d23-b405-aedcc1280afe,Melinda Hamilton,4to,Lenguaje,Phillip Thomas,8.7,1.7,5.2,6.5,Trimestre 3,2025-03-28,0,injustificada,e4127311-357b-4592-b8c9-86ffbb34deb0,2025-04-27,2025-05-25,entregada a tiempo,79,3,19,3,9.7,65.2,1,tutor,t,baja
e9d0ef88-50dc-4813-938d-c39144906a81,Robert Ponce,2do,Lenguaje,Evelyn Smith,8.6,2.1,5.3,9.4,Trimestre 3,2025-05-25,1,,807c6e3e-a55d-4919-887b-cad0d87e322e,2025-04-28,2025-04-28,tarde,94,2,14,0,5.6,81.5,2,padres,t,alta
